"unitid","institution name","year","HD2018.State abbreviation","DRVF2018.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2018.Endowment assets (year end) per FTE enrollment (FASB)","HD2018.Institution size category","HD2018.State abbreviation","HD2018.FIPS state code","HD2018.Bureau of Economic Analysis (BEA) regions","HD2018.Sector of institution","HD2018.Level of institution","HD2018.Control of institution","HD2018.Degree-granting status","HD2018.Historically Black College or University","HD2018.Tribal college","HD2018.Land Grant Institution","HD2018.Degree of urbanization (Urban-centric locale)","HD2018.Data Feedback Report comparison group created by NCES","HD2018.Data Feedback Report - Institution submitted a custom comparison group","HD2018.Postsecondary and Title IV institution indicator","HD2018.Institutional category","HD2018.Carnegie Classification 2018: Basic","HD2018.Carnegie Classification 2018: Undergraduate Instructional Program","HD2018.Carnegie Classification 2018: Graduate Instructional Program","HD2018.Carnegie Classification 2018: Undergraduate Profile","HD2018.Carnegie Classification 2018: Enrollment Profile","HD2018.Carnegie Classification 2018: Size and Setting","HD2018.Carnegie Classification 2015: Basic","HD2018.Carnegie Classification 2005/2010: Basic","HD2018.Carnegie Classification 2000","HD2018.Institution size category","DRVEF2018.Total  enrollment","DRVEF2018.Undergraduate enrollment","DRVEF2018.Graduate enrollment"
"165699","Endicott College","2018","Massachusetts",,"20609","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Masters Colleges and Universities (larger programs), private not-for-profit/2 of 5","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Master's Colleges & Universities: Larger Programs","Professions plus arts & sciences, some graduate coexistence","Research Doctoral: Professional-dominant","Four-year, full-time, inclusive, lower transfer-in","High undergraduate","Four-year, medium, highly residential","Master's Colleges & Universities: Larger Programs","Master's Colleges and Universities (medium programs)","Baccalaureate Colleges--General","1,000 - 4,999","4794","3132","1662"
"165750","Rob Roy Academy-Fall River","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","Nondegree-granting, primarily postsecondary","No","No","Not a Land Grant Institution","Suburb: Large","Nondegree-granting private for-profit,  largest program - cosmetology/31 of 37","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000","45","45","0"
"165802","Fisher College","2018","Massachusetts",,,"1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Baccalaureate Colleges--Diverse Fields, private not-for-profit/1 of 7","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Baccalaureate Colleges: Diverse Fields","Professions focus, some graduate coexistence","Postbaccalaureate: Single program-Business","Four-year, higher part-time","Very high undergraduate","Four-year, small, primarily nonresidential","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's","Baccalaureate/Associate's Colleges","Associates Colleges","1,000 - 4,999","1662","1626","36"
"165820","Fitchburg State University","2018","Massachusetts","2791",,"5,000 - 9,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Midsize","Masters Colleges and Universities (larger programs), public/4 of 5","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Postbaccalaureate: Education-dominant, with Arts & Sciences","Four-year, full-time, selective, higher transfer-in","Majority undergraduate","Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Master's Colleges and Universities (larger programs)","Masters Colleges and Universities I","5,000 - 9,999","7199","4163","3036"
"165866","Framingham State University","2018","Massachusetts","8065",,"5,000 - 9,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","City: Small","Masters Colleges and Universities (larger programs), public/4 of 5","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Postbaccalaureate: Education-dominant, with other professional programs","Four-year, full-time, inclusive, higher transfer-in","High undergraduate","Four-year, medium, primarily residential","Master's Colleges & Universities: Larger Programs","Master's Colleges and Universities (larger programs)","Masters Colleges and Universities I","5,000 - 9,999","5565","3937","1628"
"165884","Benjamin Franklin Institute of Technology","2018","Massachusetts",,"3333","Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Degree-granting four-year primarily associate's, Other technology-related schools","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Special Focus Four-Year: Other Technology-Related Schools","Baccalaureate/Associates Colleges","Not classified (Exclusively Undergraduate)","Four-year, full-time, inclusive, higher transfer-in","Exclusively undergraduate four-year","Four-year, very small, primarily nonresidential","Special Focus Four-Year: Other Technology-Related Schools","Other technology-related schools","Schools of engineering and technology","Under 1,000","630","630","0"
"165936","Gordon College","2018","Massachusetts",,"30202","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/3 of 7","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences plus professions, some graduate coexistence","Postbaccalaureate: Education-dominant, with other professional programs","Four-year, full-time, selective, lower transfer-in","High undergraduate","Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Baccalaureate Colleges--Arts & Sciences","Baccalaureate Colleges--Liberal Arts","1,000 - 4,999","1955","1618","337"
"165945","Gordon-Conwell Theological Seminary","2018","Massachusetts",,"59208","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Theological seminaries/Bible colleges/faith-related institutions, highest level-Doctor's, undergraduate degrees/certificates offered/1 of 2","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Special Focus Four-Year: Faith-Related Institutions","Not Classified (Exclusively Graduate Programs)","Postbaccalaureate: Other-dominant, with other professional programs","Not classified (Exclusively Graduate)","Exclusively graduate","Exclusively graduate/professional","Special Focus Four-Year: Faith-Related Institutions","Theological seminaries, Bible colleges, and other faith-related institutions","Theological seminaries and other specialized faith-related institutions","1,000 - 4,999","1696","0","1696"
"165981","Greenfield Community College","2018","Massachusetts",,,"1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 2-year","At least 2 but less than 4 years","Public","Degree-granting","No","No","Not a Land Grant Institution","Town: Distant","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, public/4 of 4","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, associate's and certificates","Associate's Colleges: Mixed Transfer/Vocational & Technical-High Traditional","Associate's Colleges: High Transfer","Not classified (Exclusively Undergraduate)","Two-year, higher part-time","Exclusively undergraduate two-year","Two-year, small","Associate's Colleges: High Transfer-High Traditional","Associate's--Public Suburban-serving Single Campus","Associates Colleges","1,000 - 4,999","1822","1822","0"
"166018","Hampshire College","2018","Massachusetts",,"47598","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/5 of 7","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Not classified (Exclusively Undergraduate)","Four-year, full-time, selective, lower transfer-in","Exclusively undergraduate four-year","Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Baccalaureate Colleges--Arts & Sciences","Baccalaureate Colleges--Liberal Arts","1,000 - 4,999","1191","1191","0"
"166027","Harvard University","2018","Massachusetts",,"1422130","20,000 and above","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Midsize","Doctoral Universities: Highest Research Activity, private not-for-profit","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral Universities: Very High Research Activity","Arts & sciences focus, high graduate coexistence","Research Doctoral: Comprehensive programs, with medical/veterinary school","Four-year, full-time, more selective, lower transfer-in","Majority graduate","Four-year, large, highly residential","Doctoral Universities: Highest Research Activity","Research Universities (very high research activity)","Doctoral/Research Universities--Extensive","20,000 and above","31566","9950","21616"
"166045","Hebrew College","2018","Massachusetts",,"15303","Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Small","Theological seminaries/Bible colleges/faith-related institutions, highest level-postbaccalaureate, undergraduate degrees/certificates offered/2 of 2","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Special Focus Four-Year: Faith-Related Institutions","Balanced arts & sciences/professions, high graduate coexistence","Postbaccalaureate: Other-dominant, with Arts & Sciences","Not classified (Exclusively Graduate)","Majority graduate","Four-year, very small, primarily nonresidential","Special Focus Four-Year: Faith-Related Institutions","Theological seminaries, Bible colleges, and other faith-related institutions","Other specialized institutions","Under 1,000","182","50","132"
"166054","Hellenic College-Holy Cross Greek Orthodox School of Theology","2018","Massachusetts",,"110343","Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Theological seminaries/Bible colleges/faith-related institutions, highest level-postbaccalaureate, undergraduate degrees/certificates offered/1 of 2","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Special Focus Four-Year: Faith-Related Institutions","Arts & sciences focus, no graduate coexistence","Postbaccalaureate: Single program-Other","Four-year, full-time, selective, higher transfer-in","Majority graduate","Four-year, very small, highly residential","Special Focus Four-Year: Faith-Related Institutions","Theological seminaries, Bible colleges, and other faith-related institutions","Theological seminaries and other specialized faith-related institutions","Under 1,000","154","67","87"
"166124","College of the Holy Cross","2018","Massachusetts",,"257634","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Midsize","Baccalaureate Colleges--Arts & Sciences, private not-for-profit/1 of 7","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Baccalaureate Colleges: Arts & Sciences Focus","Arts & sciences focus, no graduate coexistence","Not classified (Exclusively Undergraduate)","Four-year, full-time, more selective, lower transfer-in","Exclusively undergraduate four-year","Four-year, small, highly residential","Baccalaureate Colleges: Arts & Sciences Focus","Baccalaureate Colleges--Arts & Sciences","Baccalaureate Colleges--Liberal Arts","1,000 - 4,999","2939","2939","0"
"166133","Holyoke Community College","2018","Massachusetts","1555",,"5,000 - 9,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 2-year","At least 2 but less than 4 years","Public","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Associate's Colleges: High Transfer-High Traditional, public/3 of 4","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, associate's and certificates","Associate's Colleges: High Transfer-High Traditional","Associate's Colleges: High Transfer","Not classified (Exclusively Undergraduate)","Two-year, mixed part/full-time","Exclusively undergraduate two-year","Two-year, medium","Associate's Colleges: High Transfer-High Traditional","Associate's--Public Suburban-serving Single Campus","Associates Colleges","5,000 - 9,999","5206","5206","0"
"166391","Lasell College","2018","Massachusetts",,"20862","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Small","Masters Colleges and Universities (medium programs), private not-for-profit/2 of 4","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Master's Colleges & Universities: Medium Programs","Professions plus arts & sciences, some graduate coexistence","Postbaccalaureate: Comprehensive programs","Four-year, full-time, selective, lower transfer-in","Very high undergraduate","Four-year, small, highly residential","Master's Colleges & Universities: Medium Programs","Baccalaureate Colleges--Diverse Fields","Baccalaureate/Associates Colleges","1,000 - 4,999","2060","1674","386"
"166407","Lawrence Memorial Hospital School of Nursing","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 2-year","At least 2 but less than 4 years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Special Focus Two Year: Health, private not-for-profit","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, associate's and certificates","Special Focus Two-Year: Health Professions","Special Focus: Two-Year Institution","Not classified (Exclusively Undergraduate)","Two-year, higher part-time","Exclusively undergraduate two-year","Two-year, very small","Special Focus Two-Year: Health Professions","Associate's--Private Not-for-profit","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000","281","281","0"
"166452","Lesley University","2018","Massachusetts",,"52628","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Midsize","Doctoral/Professional Universities, private not-for-profit/2 of 3","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral/Professional Universities","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Single program-Education","Four-year, medium full-time , selective, higher transfer-in","Majority undergraduate","Four-year, medium, primarily residential","Doctoral Universities: Moderate Research Activity","Master's Colleges and Universities (larger programs)","Masters Colleges and Universities I","1,000 - 4,999","4838","2208","2630"
"166489","Longy School of Music of Bard College","2018","Massachusetts",,"32941","Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Midsize","Special Focus--Schools of art, music, and design, public or private not-for-profit/2 of 2","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Special Focus Four-Year: Arts, Music & Design Schools","Not Classified (Exclusively Graduate Programs)","Postbaccalaureate: Arts & sciences-dominant","Four-year, full-time, inclusive, lower transfer-in","Majority graduate","Four-year, very small, primarily nonresidential","Special Focus Four-Year: Arts, Music & Design Schools","Schools of art, music, and design","Schools of art, music, and design","Under 1,000","244","36","208"
"166498","Lowell Academy Hairstyling Institute","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","Nondegree-granting, primarily postsecondary","No","No","Not a Land Grant Institution","Suburb: Large","Nondegree-granting private for-profit,  largest program - cosmetology/13 of 37","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000","95","95","0"
"166513","University of Massachusetts-Lowell","2018","Massachusetts","6254",,"10,000 - 19,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Doctoral Universities: Higher Research Activity, public/2 of 3","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral Universities: High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: STEM-dominant","Four-year, medium full-time , selective, higher transfer-in","High undergraduate","Four-year, large, primarily residential","Doctoral Universities: Higher Research Activity","Research Universities (high research activity)","Doctoral/Research Universities--Intensive","10,000 - 19,999","18242","14004","4238"
"166586","Mansfield Beauty Schools-Springfield","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","Nondegree-granting, primarily postsecondary","No","No","Not a Land Grant Institution","City: Midsize","Non-Title IV institution, that did not respond to all component surveys","Not reported","Non-Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000",,,
"166595","Mansfield Beauty Schools-Quincy","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","Nondegree-granting, primarily postsecondary","No","No","Not a Land Grant Institution","Suburb: Large","Non-Title IV institution, that did not respond to all component surveys","Not reported","Non-Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000",,,
"166629","University of Massachusetts-Amherst","2018","Massachusetts","11333",,"20,000 and above","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Land Grant Institution","Suburb: Large","Doctoral Universities: Highest Research Activity, public/2 of 3","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral Universities: Very High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Four-year, full-time, more selective, higher transfer-in","High undergraduate","Four-year, large, highly residential","Doctoral Universities: Highest Research Activity","Research Universities (very high research activity)","Doctoral/Research Universities--Extensive","20,000 and above","30593","23515","7078"
"166638","University of Massachusetts-Boston","2018","Massachusetts","6490",,"10,000 - 19,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Doctoral Universities: Higher Research Activity, public/2 of 3","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral Universities: High Research Activity","Balanced arts & sciences/professions, some graduate coexistence","Research Doctoral: Professional-dominant","Four-year, medium full-time , selective, higher transfer-in","High undergraduate","Four-year, large, primarily nonresidential","Doctoral Universities: Higher Research Activity","Research Universities (high research activity)","Doctoral/Research Universities--Intensive","10,000 - 19,999","16164","12714","3450"
"166647","Massachusetts Bay Community College","2018","Massachusetts","1857",,"1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 2-year","At least 2 but less than 4 years","Public","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional, public/3 of 4","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, associate's and certificates","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional","Associate's Colleges: High Transfer","Not classified (Exclusively Undergraduate)","Two-year, higher part-time","Exclusively undergraduate two-year","Two-year, medium","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional","Associate's--Public Suburban-serving Multicampus","Associates Colleges","1,000 - 4,999","4368","4368","0"
"166656","MCPHS University","2018","Massachusetts",,"131055","5,000 - 9,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Other health professions schools, public or private not-for-profit/1 of 3","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Special Focus Four-Year: Other Health Professions Schools","Professions focus, high graduate coexistence","Research Doctoral: Professional-dominant","Four-year, full-time, selective, higher transfer-in","Majority undergraduate","Four-year, medium, primarily residential","Special Focus Four-Year: Other Health Professions Schools","Other health professions schools","Other separate health profession schools","5,000 - 9,999","7064","3966","3098"
"166665","University of Massachusetts-Central Office","2018","Massachusetts",,,"Not applicable","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Administrative Unit","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Not applicable, institution is inactive or adminstrative unit","Not applicable","Title IV postsecondary institution","Not applicable","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable",,,
"166674","Massachusetts College of Art and Design","2018","Massachusetts","9485",,"1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Special Focus--Schools of art, music, and design, public or private not-for-profit/1 of 2","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Special Focus Four-Year: Arts, Music & Design Schools","Balanced arts & sciences/professions, high graduate coexistence","Postbaccalaureate: Arts & sciences-dominant","Four-year, full-time, selective, higher transfer-in","Very high undergraduate","Four-year, small, highly residential","Special Focus Four-Year: Arts, Music & Design Schools","Schools of art, music, and design","Schools of art, music, and design","1,000 - 4,999","2087","1954","133"
"166683","Massachusetts Institute of Technology","2018","Massachusetts",,"1454419","10,000 - 19,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Midsize","Doctoral Universities: Highest Research Activity, private not-for-profit","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Doctoral Universities: Very High Research Activity","Balanced arts & sciences/professions, high graduate coexistence","Research Doctoral: Comprehensive programs, no medical/veterinary school","Four-year, full-time, more selective, lower transfer-in","Majority graduate","Four-year, large, highly residential","Doctoral Universities: Highest Research Activity","Research Universities (very high research activity)","Doctoral/Research Universities--Extensive","10,000 - 19,999","11574","4602","6972"
"166692","Massachusetts Maritime Academy","2018","Massachusetts","10982",,"1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Midsize","Baccalaureate Colleges--Diverse Fields, public/2 of 3","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Baccalaureate Colleges: Diverse Fields","Professions focus, some graduate coexistence","Postbaccalaureate: Arts & sciences-dominant","Four-year, full-time, selective, lower transfer-in","Very high undergraduate","Four-year, small, highly residential","Master's Colleges & Universities: Small Programs","Baccalaureate Colleges--Diverse Fields","Other specialized institutions","1,000 - 4,999","1802","1709","93"
"166708","University of Massachusetts Medical School Worcester","2018","Massachusetts","202575",,"1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 4-year or above","Four or more years","Public","Degree-granting","No","No","Not a Land Grant Institution","City: Midsize","Medical schools and medical centers, public","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Special Focus Four-Year: Medical Schools & Centers","Not Classified (Exclusively Graduate Programs)","Research Doctoral: STEM-dominant","Not classified (Exclusively Graduate)","Exclusively graduate","Exclusively graduate/professional","Special Focus Four-Year: Medical Schools & Centers","Medical schools and medical centers","Medical schools and medical centers","1,000 - 4,999","1185","0","1185"
"166717","William James College","2018","Massachusetts",,"1171","Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Small","Other health professions schools, public or private not-for-profit/2 of 3","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Special Focus Four-Year: Other Health Professions Schools","Not Classified (Exclusively Graduate Programs)","Postbaccalaureate: Other-dominant, with other professional programs","Four-year, higher part-time","Majority graduate","Four-year, very small, primarily nonresidential","Special Focus Four-Year: Other Health Professions Schools","Other health professions schools","Other specialized institutions","Under 1,000","765","14","751"
