"unitid","institution name","year","HD2018.State abbreviation","DRVF2018.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2018.Endowment assets (year end) per FTE enrollment (FASB)","HD2018.Institution size category","HD2018.State abbreviation","HD2018.FIPS state code","HD2018.Bureau of Economic Analysis (BEA) regions","HD2018.Sector of institution","HD2018.Level of institution","HD2018.Control of institution","HD2018.Degree-granting status","HD2018.Historically Black College or University","HD2018.Tribal college","HD2018.Land Grant Institution","HD2018.Degree of urbanization (Urban-centric locale)","HD2018.Data Feedback Report comparison group created by NCES","HD2018.Data Feedback Report - Institution submitted a custom comparison group","HD2018.Postsecondary and Title IV institution indicator","HD2018.Institutional category","HD2018.Carnegie Classification 2018: Basic","HD2018.Carnegie Classification 2018: Undergraduate Instructional Program","HD2018.Carnegie Classification 2018: Graduate Instructional Program","HD2018.Carnegie Classification 2018: Undergraduate Profile","HD2018.Carnegie Classification 2018: Enrollment Profile","HD2018.Carnegie Classification 2018: Size and Setting","HD2018.Carnegie Classification 2015: Basic","HD2018.Carnegie Classification 2005/2010: Basic","HD2018.Carnegie Classification 2000","HD2018.Institution size category","DRVEF2018.Total  enrollment","DRVEF2018.Undergraduate enrollment","DRVEF2018.Graduate enrollment"
"164614","Boston Baptist College","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Theological seminaries/Bible colleges/faith-related institutions, highest level-bachelor's degree, undergraduate degrees/certificatesoffered/2 of 2","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Special Focus Four-Year: Faith-Related Institutions","Professions focus, no graduate coexistence","Not classified (Exclusively Undergraduate)","Four-year, full-time, inclusive, higher transfer-in","Exclusively undergraduate four-year","Four-year, very small, highly residential","Special Focus Four-Year: Faith-Related Institutions","Theological seminaries, Bible colleges, and other faith-related institutions","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000","81","81","0"
"164632","Bay Path University","2018","Massachusetts",,"16390","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","Suburb: Large","Masters Colleges and Universities (larger programs), private not-for-profit/3 of 5","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Master's Colleges & Universities: Larger Programs","Balanced arts & sciences/professions, some graduate coexistence","Postbaccalaureate: Comprehensive programs","Four-year, medium full-time , selective, higher transfer-in","Majority undergraduate","Four-year, small, primarily nonresidential","Master's Colleges & Universities: Larger Programs","Baccalaureate Colleges--Arts & Sciences","Baccalaureate/Associates Colleges","1,000 - 4,999","3444","1923","1521"
"164641","Bay State College","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private for-profit, 4-year or above","Four or more years","Private for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Baccalaureate Colleges--Arts & Sciences or Diverse Fields, private for-profit","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Baccalaureate Colleges: Diverse Fields","Professions focus, no graduate coexistence","Not classified (Exclusively Undergraduate)","Four-year, medium full-time , selective, higher transfer-in","Exclusively undergraduate four-year","Four-year, very small, primarily nonresidential","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's","Associate's--Private For-profit 4-year Primarily Associate's","Associates Colleges","Under 1,000","700","700","0"
"164678","Bay State School of Technology","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","Nondegree-granting, primarily postsecondary","No","No","Not a Land Grant Institution","Suburb: Large","Nondegree-granting, private for-profit. largest program - engineering and engineering technologies","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000","123","123","0"
"164720","Becker College","2018","Massachusetts",,"2764","1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Midsize","Baccalaureate Colleges--Diverse Fields, private not-for-profit/1 of 7","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Baccalaureate Colleges: Diverse Fields","Professions plus arts & sciences, no graduate coexistence","Postbaccalaureate: Single program-Other","Four-year, full-time, selective, higher transfer-in","Very high undergraduate","Four-year, small, highly residential","Baccalaureate Colleges: Diverse Fields","Baccalaureate Colleges--Diverse Fields","Baccalaureate/Associates Colleges","1,000 - 4,999","1839","1824","15"
"164739","Bentley University","2018","Massachusetts",,"58398","5,000 - 9,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Small","Masters Colleges and Universities (larger programs), private not-for-profit/1 of 5","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Master's Colleges & Universities: Larger Programs","Professions focus, some graduate coexistence","Research Doctoral: Single program-Other","Four-year, full-time, more selective, lower transfer-in","High undergraduate","Four-year, medium, highly residential","Master's Colleges & Universities: Larger Programs","Master's Colleges and Universities (larger programs)","Masters Colleges and Universities I","5,000 - 9,999","5460","4253","1207"
"164748","Berklee College of Music","2018","Massachusetts",,"53358","5,000 - 9,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Special Focus--Schools of art, music, and design, public or private not-for-profit/1 of 2","Yes, institution submitted a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Special Focus Four-Year: Arts, Music & Design Schools","Arts & sciences focus, high graduate coexistence","Postbaccalaureate: Arts & sciences-dominant","Four-year, medium full-time , selective, higher transfer-in","Very high undergraduate","Four-year, medium, primarily nonresidential","Special Focus Four-Year: Arts, Music & Design Schools","Schools of art, music, and design","Schools of art, music, and design","5,000 - 9,999","6963","6400","563"
"164775","Berkshire Community College","2018","Massachusetts","5883",,"1,000 - 4,999","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Public, 2-year","At least 2 but less than 4 years","Public","Degree-granting","No","No","Not a Land Grant Institution","Rural: Fringe","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional, public/4 of 4","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, associate's and certificates","Associate's Colleges: Mixed Transfer/Vocational & Technical-High Traditional","Associate's Colleges: High Transfer","Not classified (Exclusively Undergraduate)","Two-year, higher part-time","Exclusively undergraduate two-year","Two-year, small","Associate's Colleges: High Transfer-High Traditional","Associate's--Public Rural-serving Medium","Associates Colleges","1,000 - 4,999","1696","1696","0"
"164845","Empire Beauty School-Boston","2018","Massachusetts",,,"Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private for-profit, less-than 2-year","Less than 2 years (below associate)","Private for-profit","Nondegree-granting, primarily postsecondary","No","No","Not a Land Grant Institution","City: Large","Nondegree-granting private for-profit,  largest program - cosmetology/10 of 37","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Under 1,000","118","118","0"
"164872","Boston Architectural College","2018","Massachusetts",,"18975","Under 1,000","Massachusetts","Massachusetts","New England CT ME MA NH RI VT","Private not-for-profit, 4-year or above","Four or more years","Private not-for-profit","Degree-granting","No","No","Not a Land Grant Institution","City: Large","Special Focus--Schools of art, music, and design, public or private not-for-profit/2 of 2","No, institution did not submit a custom comparison group","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Special Focus Four-Year: Arts, Music & Design Schools","Professions focus, high graduate coexistence","Postbaccalaureate: Other-dominant, with other professional programs","Four-year, full-time, inclusive, higher transfer-in","Majority graduate","Four-year, very small, primarily nonresidential","Special Focus Four-Year: Arts, Music & Design Schools","Schools of art, music, and design","Schools of art, music, and design","Under 1,000","663","337","326"
